outfit_id,outfit_name,category,style,season
1,Casual Blue Jeans and White Tee,Casual,Relaxed,All-season
2,Formal Black Suit with Tie,Formal,Classic,Winter
3,Red Summer Dress,Party,Trendy,Summer
4,Grey Hoodie with Joggers,Sporty,Athleisure,All-season
5,Light Blue Linen Shirt with Chinos,Casual,Smart Casual,Summer
6,Black Leather Jacket with Denim,Edgy,Street,Autumn
7,White Kurta with Pajama,Traditional,Ethnic,All-season
8,Navy Blazer with Khakis,Formal,Business Casual,Spring
9,Green Floral Maxi Dress,Party,Boho,Summer
10,Running Shorts with Dry-fit Tee,Sporty,Athletic,Summer
11,Brown Wool Sweater with Corduroys,Casual,Classic,Winter
12,Yellow Raincoat with Waterproof Boots,Functional,Rainwear,Monsoon
13,Checked Shirt with Cargo Pants,Casual,Outdoor,Autumn
14,Pink Hoodie with Black Leggings,Sporty,Athleisure,Spring
15,White Linen Suit,Formal,Resort,Summer
16,Denim Overalls with Striped Tee,Casual,Retro,Spring
17,Blue Sherwani with Churidar,Traditional,Festive,Winter
18,Black Tank Top with Gym Shorts,Sporty,Fitness,Summer
19,Red Wool Peacoat with Dress Pants,Formal,Classic,Winter
20,Green Puffer Jacket with Thermal Pants,Functional,Winterwear,Winter
21,White Saree with Silver Border,Traditional,Ethnic,All-season
22,Orange Polo with Denim Shorts,Casual,Smart Casual,Summer
23,Grey Suit with Light Blue Shirt,Formal,Classic,Autumn
24,Maroon Hoodie with Track Pants,Sporty,Athleisure,All-season
25,Navy Peacoat with Wool Scarf,Formal,Classic,Winter
