date,temperature_c,weather_condition,humidity,wind_speed_kmh
2025-07-01,30,Sunny,40,10
2025-07-02,28,Partly Cloudy,45,12
2025-07-03,22,Cloudy,60,15
2025-07-04,18,Rainy,85,18
2025-07-05,10,Snow,80,20
2025-07-06,25,Sunny,50,8
2025-07-07,27,Sunny,42,9
2025-07-08,24,Thunderstorm,70,16
2025-07-09,21,Cloudy,55,14
2025-07-10,19,Rainy,90,19
2025-07-11,11,Snow,75,22
2025-07-12,26,Sunny,40,10
2025-07-13,29,Sunny,35,7
2025-07-14,23,Partly Cloudy,48,11
2025-07-15,20,Cloudy,58,13
2025-07-16,16,Rainy,80,17
2025-07-17,9,Snow,82,21
2025-07-18,24,Sunny,45,9
2025-07-19,28,Sunny,38,6
2025-07-20,30,Sunny,33,5
2025-07-21,22,Cloudy,60,14
2025-07-22,18,Rainy,85,18
2025-07-23,12,Snow,78,23
2025-07-24,25,Sunny,44,8
2025-07-25,27,Sunny,40,10
